INFO 2025-09-19 13:54:46,123 basehttp 10260 16820 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-09-19 13:54:46,129 basehttp 10260 16820 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-09-19 13:54:46,135 basehttp 10260 16820 "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-09-19 13:54:46,136 basehttp 10260 6612 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-09-19 13:54:46,138 basehttp 10260 20320 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-09-19 13:54:52,705 basehttp 10260 20320 "GET /api HTTP/1.1" 301 0
INFO 2025-09-19 13:54:52,712 basehttp 10260 6612 "GET /api/ HTTP/1.1" 200 177
WARNING 2025-09-19 13:55:02,291 log 10260 7272 Not Found: /api/auth
WARNING 2025-09-19 13:55:02,294 basehttp 10260 7272 "GET /api/auth HTTP/1.1" 404 3498
WARNING 2025-09-19 13:55:07,750 log 10260 5300 Not Found: /api/auth/
WARNING 2025-09-19 13:55:07,752 basehttp 10260 5300 "GET /api/auth/ HTTP/1.1" 404 4160
INFO 2025-09-19 13:55:20,734 basehttp 10260 7816 "GET /api/auth/send-otp HTTP/1.1" 301 0
WARNING 2025-09-19 13:55:23,122 log 10260 17892 Method Not Allowed: /api/auth/send-otp/
WARNING 2025-09-19 13:55:23,125 basehttp 10260 17892 "GET /api/auth/send-otp/ HTTP/1.1" 405 5587
INFO 2025-09-19 13:55:23,893 basehttp 10260 17892 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-09-19 13:55:23,928 basehttp 10260 7264 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-09-19 13:55:23,936 basehttp 10260 8804 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-09-19 13:55:23,952 basehttp 10260 15504 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-09-19 13:55:23,999 basehttp 10260 17892 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-09-19 13:55:24,012 basehttp 10260 4700 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-09-19 13:55:24,038 basehttp 10260 15504 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-09-19 13:55:24,051 basehttp 10260 17892 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-09-19 13:55:24,064 basehttp 10260 4700 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-09-19 13:55:24,119 basehttp 10260 8804 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-09-19 13:55:24,120 basehttp 10260 7264 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-09-19 13:55:24,150 basehttp 10260 18168 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-09-19 13:55:46,910 basehttp 10260 17720 "OPTIONS /api/auth/send-otp/ HTTP/1.1" 200 5855
ERROR 2025-09-19 13:56:10,899 log 10260 17548 Internal Server Error: /api/auth/send-otp
Traceback (most recent call last):
  File "C:\Users\dell\OneDrive\Desktop\sports-booking-system\backend\sports_env\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\dell\OneDrive\Desktop\sports-booking-system\backend\sports_env\Lib\site-packages\django\utils\deprecation.py", line 122, in __call__
    response = self.process_response(request, response)
  File "C:\Users\dell\OneDrive\Desktop\sports-booking-system\backend\sports_env\Lib\site-packages\django\middleware\common.py", line 108, in process_response
    return self.response_redirect_class(self.get_full_path_with_slash(request))
                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^
  File "C:\Users\dell\OneDrive\Desktop\sports-booking-system\backend\sports_env\Lib\site-packages\django\middleware\common.py", line 87, in get_full_path_with_slash
    raise RuntimeError(
    ...<9 lines>...
    )
RuntimeError: You called this URL via POST, but the URL doesn't end in a slash and you have APPEND_SLASH set. Django can't redirect to the slash URL while maintaining POST data. Change your form to point to localhost:8000/api/auth/send-otp/ (note the trailing slash), or set APPEND_SLASH=False in your Django settings.
ERROR 2025-09-19 13:56:10,910 basehttp 10260 17548 "POST /api/auth/send-otp HTTP/1.1" 500 77214
INFO 2025-09-19 13:56:41,832 basehttp 10260 1728 "GET /api/auth/send-otp?phone_number=+919513363090 HTTP/1.1" 301 0
WARNING 2025-09-19 13:56:41,887 log 10260 16908 Method Not Allowed: /api/auth/send-otp/
WARNING 2025-09-19 13:56:41,889 basehttp 10260 16908 "GET /api/auth/send-otp/?phone_number=+919513363090 HTTP/1.1" 405 40
ERROR 2025-09-19 13:56:59,756 log 10260 16908 Internal Server Error: /api/auth/send-otp
Traceback (most recent call last):
  File "C:\Users\dell\OneDrive\Desktop\sports-booking-system\backend\sports_env\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\dell\OneDrive\Desktop\sports-booking-system\backend\sports_env\Lib\site-packages\django\utils\deprecation.py", line 122, in __call__
    response = self.process_response(request, response)
  File "C:\Users\dell\OneDrive\Desktop\sports-booking-system\backend\sports_env\Lib\site-packages\django\middleware\common.py", line 108, in process_response
    return self.response_redirect_class(self.get_full_path_with_slash(request))
